title,link_to_code,related_theme,current_vs_expected,additional_context
"Unable to run production build in next 15.2.0-canary.10, 15.2.0-canary.9 seems to work",https://github.com/vercel/next.js/tree/canary/examples/reproduction-template,['padroes_de_projeto'],"I wanted to try out the new `use cache` features in my existing project. Everything works fine in dev mode. When deploying to vercel, I get the following error `Error: ENOENT: no such file or directory, lstat '/vercel/path0/lc/.next/server/app/favicon.ico/route_client-reference-manifest.js'`.

When I build locally and then start the server I get this error message:

```
Error: Expected to use Webpack bindings (react-server-dom-webpack/server.edge) for React but the current process is referencing 'registerServerReference' from the Turbopack bindings (react-server-dom-turbopack/server.edge). This is likely a bug in our integration of the Next.js server runtime.
    at Object.get [as registerServerReference] (.next/server/chunks/ssr/ef794_next_dist_83da9c._.js:14:28)
    at Module.registerServerReference (.next/server/chunks/ssr/[turbopack]_runtime.js:90:19)
    at [project]/src/actions/finishLesson.ts [app-rsc] (ecmascript) (.next/server/chunks/ssr/[root of the server]__977a75._.js:287:428)
    at instantiateModule (.next/server/chunks/ssr/[turbopack]_runtime.js:590:23)
    at getOrInstantiateModuleFromParent (.next/server/chunks/ssr/[turbopack]_runtime.js:645:12)
    at esmImport (.next/server/chunks/ssr/[turbopack]_runtime.js:132:20)
    at [project]/.next-internal/server/app/learn/[base]/[target]/library/resource/[resourceId]/page/actions.js { ACTIONS_MODULE0 => ""[project]/src/actions/finishLesson.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE1 => ""[project]/src/actions/updateWorksheet.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE2 => ""[project]/src/lib/crud/getResource.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE3 => ""[project]/src/actions/checkWord.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE4 => ""[project]/src/actions/generateWorksheet.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE5 => ""[project]/src/app/learn/[base]/[target]/library/resource/[resourceId]/page.tsx [app-rsc] (ecmascript)"" } [app-rsc] (ecmascript) <module evaluation> (.next/server/chunks/ssr/[root of the server]__977a75._.js:605:134)
    at instantiateModule (.next/server/chunks/ssr/[turbopack]_runtime.js:590:23)
    at getOrInstantiateModuleFromParent (.next/server/chunks/ssr/[turbopack]_runtime.js:645:12)
```

I now tested 15.2.0-canary.9. which works fine.","Tested against 15.2.0-canary.10, doesn't work.
15.2.0-canary.9. works"
Can't Compile Next.js 15.1.4 with Specific Network Connection,https://github.com/vercel/next.js/tree/canary/examples/reproduction-template,['padroes_de_projeto'],"# Current Behavior:
When running npm run dev in Next.js 15.1.4, the development server is accessible on the local network by default.
However, if I connected to a specific network interface (e.g., a specific Ethernet/Wi-Fi adapter), the app fails to compile and gets stuck in the loading stage.
(Cannot work using ```npm run dev -- --hostname localhost``` too)

# Expected Behavior:
The developer should be able to run npm run dev in Next.js 15.1.4 without any issues, even when connected to a specific network interface.
Ideally, there should be an option to disable the local network accessibility and only expose the development server on the local machine.
![issue_2](https://github.com/user-attachments/assets/b7a83e37-0994-4e5f-9d23-86b3ac8cfbcc)
![issue_3](https://github.com/user-attachments/assets/a3f737ed-fe52-4c36-b5e7-b194ae6abf90)",_No response_
Can't Compile Next.js 15.1.4 with Specific Network Connection,https://github.com/vercel/next.js/tree/canary/packages/create-next-app,['padroes_de_projeto'],"# Current Behavior:

When running npm run dev in Next.js 15.1.4, the development server is accessible on the local network by default.
However, if I connected to a specific network interface (e.g., a VPN or a specific Ethernet/Wi-Fi adapter), the app fails to compile and gets stuck in the loading stage.
(Cannot work using ```npm run dev -- --hostname localhost``` too)
# Expected Behavior:

The developer should be able to run npm run dev in Next.js 15.1.4 without any issues, even when connected to a specific network interface.
Ideally, there should be an option to disable the local network accessibility and only expose the development server on the local machine.
![issue_2](https://github.com/user-attachments/assets/b10e0224-60cd-4d5a-8e4f-b78c5eff4f46)
![issue_3](https://github.com/user-attachments/assets/b8e1daf8-b51b-4f47-96bc-48ac2e42d593)",_No response_
Failed to load plugin 'react-hooks' declared in ' » eslint-config-next/core-web-vitals » Cannot find module 'eslint-plugin-react-hooks' ,,['padroes_de_projeto'],,
SSR and Cache Control Issues with Next.js: Help Needed,https://github.com/tayebehsafdaridoost,['padroes_de_projeto'],"How can I ensure that the browser always fetches fresh data for SSR pages and doesn’t rely on cached versions?
Is there a better approach to manage middleware and headers for SSR and dynamic data fetching in Next.js?
Could there be specific issues with how I’ve configured next.config.js, Middleware, or API responses that cause this behavior?",_No response_
Importing ESM file from *next/client/*.js fails,,['padroes_de_projeto'],,
Extended Set Methods (like `union()`) Not Included in Default Polyfills Despite Documentation,.,['arquitetura_software'],,
Error: A tree hydrated but some attributes of the server rendered HTML didn't match the client properties.,,['padroes_de_projeto'],,
Router Cache entry doesn't work when query params contain %20,,['arquitetura_software'],,
`NEXT_REDIRECT` internal error making it to the client,,['padroes_de_projeto'],,
Unable to install major packages with Next.js 15 and React 19 RC,,['padroes_de_projeto'],,
Turbopack assigning class variables as undefined explicitly on construction.,,['padroes_de_projeto'],,
nextjs 15 codemod failed on headless linux,https://github.com/chester-lang/chester/tree/a01bbf243258ff4a679f7df83ec0b67142de7749/site,['padroes_de_projeto'],"```
Processing 21 files...
Spawning 11 workers...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 2 files to free worker...
Sending 1 files to free worker...
All done.
Results:
0 errors
21 unmodified
0 skipped
0 ok
Time elapsed: 0.545seconds
 WARN  3 deprecated subdependencies found: glob@7.2.3, inflight@1.0.6, rimraf@2.6.3
Packages: +303
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Downloading @ast-grep/cli-linux-x64-gnu@0.25.7: 7.33 MB/7.33 MB, done
Progress: resolved 339, reused 80, downloaded 223, added 303, done
.cache/pnpm/dlx/bd6mfpigkbwzyrlvutff2j2wqe/192a97fa005-5d3/node_modules/.pnpm/esbuild@0.23.1/node_modules/esbuild: Running postinstall script...
.cache/pnpm/dlx/bd6mfpigkbwzyrlvutff2j2wqe/192a97fa005-5d3/node_modules/.pnpm/@ast-grep+cli@0.25.7/node_modules/@ast-g.cache/pnpm/dlx/bd6mfpigkbwzyrlvutff2j2wqe/192a97fa005-5d3/node_modules/.pnpm/esbuild@0.23.1/node_modules/esbuild: Run.cache/pnpm/dlx/bd6mfpigkbwzyrlvutff2j2wqe/192a97fa005-5d3/node_modules/.pnpm/@ast-grep+cli@0.25.7/node_modules/@ast-g.cache/pnpm/dlx/bd6mfpigkbwzyrlvutff2j2wqe/192a97fa005-5d3/node_modules/.pnpm/keytar@7.9.0/node_modules/keytar: Running install script, done in 1.4s
Usage: <command> [options]

Commands:
  codemod            runs a codemod or recipe                                                                [default]
  codemod list       lists all the codemods & recipes in the public registry. can be used to search by name and tags
                                                                                                 [aliases: ls, search]
  codemod learn      exports the current `git diff` in a file to before/after panels in the Codemod Studio
  codemod login      logs in through authentication in the Codemod Studio
  codemod logout     logs out
  codemod whoami     prints the user data of currently logged in user
  codemod publish    publish the codemod to Codemod Registry
  codemod unpublish  unpublish previously published codemod from Codemod Registry
  codemod init       initialize a codemod package
  codemod feedback   submit feedback to the Codemod team

Options:
      --help            Show help                                                                            [boolean]
      --no-telemetry    Disable telemetry                                                                    [boolean]
  -v, -v, --version     Prints the latest version of the codemod                                             [boolean]
      --esm             Use to specify that you intend to use ESM-specific features in your codemods.
                                                                                            [boolean] [default: false]
  -j, --json            Respond with JSON                                                   [boolean] [default: false]
      --no-cache        Disable cache for HTTP(S) requests                                                   [boolean]
  -i, --include         Glob pattern(s) for files to include                                                   [array]
  -e, --exclude         Glob pattern(s) for files to exclude
               [array] [default: node_modules, .next, dist, build, *.d.ts, version control folders, gitignore entries]
  -t, --target          Input directory path                                                                  [string]
  -s, --source          Source path of the local codemod to run                                               [string]
      --engine          Engine to be used with standalone codemod. Can be used to skip the prompt.
                            [string] [choices: ""jscodeshift"", ""recipe"", ""ts-morph"", ""filemod"", ""ast-grep"", ""workflow""]
      --logs            Print codemod execution errors into a logfile                       [boolean] [default: false]
      --format                                                                              [boolean] [default: false]
  -n, --threads         Number of worker threads                                                 [number] [default: 4]
  -d, --dry             Perform a dry run                                                   [boolean] [default: false]
  -m, --mode            Output mode to run the codemod in:
                        - json: Disables any stdout and only prints out JSON output
                         if a codemod returns any.                       [string] [choices: ""json"", ""plain"", ""silent""]
      --no-install      Disable packages installation for the codemod run if there is `deps` field declared in its con
                        figuration                                                                           [boolean]
      --readme          Prints description/readme of the codemod if available in the configuration           [boolean]
      --config          Prints configuration file of the codemod                                             [boolean]
      --cloud           Run codemod in the cloud                                            [boolean] [default: false]
      --no-interactive  Disable interactive mode                                                             [boolean]

[Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name is not activatable]
Error: Command failed: pnpx codemod@latest react/19/migration-recipe --no-interactive
    at genericNodeError (node:internal/errors:983:15)
    at wrappedFn (node:internal/errors:537:14)
    at checkExecSyncError (node:child_process:888:11)
    at execSync (node:child_process:960:15)
    at runUpgrade (/home/user/.npm/_npx/6a090669e21b4303/node_modules/@next/codemod/bin/upgrade.js:256:38)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async Command.<anonymous> (/home/user/.npm/_npx/6a090669e21b4303/node_modules/@next/codemod/bin/next-codemod.js:51:9) {
  status: 1,
  signal: null,
  output: [ null, null, null ],
  pid: 1491,
  stdout: null,
  stderr: null
}
```",_No response_
Runtime error after importing ibm_db library,https://www.npmjs.com/package/ibm_db,['padroes_de_projeto'],"**corrent behavior:**
Throwing untime error while calling API route which internally connects to IBM DB

![Image](https://github.com/user-attachments/assets/74e41407-10a4-4e24-87ae-4b6949d05172)

**Expected Behavior:**
Should successfully make API call and fetch data from IBM DB and return respose","I tested by ""npm run dev"" command with above mentioned dependecies and getting error always.
Tried with plain node js application with ibm_db library and worked properly without any error"
Eslint should report unnecessary client client component,https://github.com/vercel/next.js/discussions/74520,['padroes_de_projeto'],Should report error,_No response_
Infinite intercept-console-error log loop,-,['arquitetura_software'],"I expected the error log to show up once per render but it keeps logging non-stop

<img width=""531"" alt=""next-15-error-log-bug"" src=""https://github.com/user-attachments/assets/8c5dc258-dd33-4ae3-990b-ec46c66eb836"" />
 (without re-rendering)","I tested 15.0.0 up to 15.1.3 and it was introduced in 15.1.0

Don't think a minimal reproduction link is needed for this one"
Valid `this` in server actions,,['padroes_de_projeto'],,
Vercel Deployment: Cache Revalidation Failure in Next.js,,['padroes_estilos_arquiteturais'],,
"Props must be serializable for components in ""use client"" file (for discussion #46795)",https://github.com/vercel/next.js,['padroes_de_projeto'],"Current: Typescript (Next.js version) will give a warning (the title) to either a) make props serializable, or b) to postfix the prop name with 'Action'. This has led to an unnecessary amount of renamings simply to avoid this error - where the majority of cases **don't have anything to do with Server Actions at all.**

Expected: No errors when passing props unrelated to SA or the client-server boundary, especially in cases where client components are layered.","Didn't provide a repro because I'm lazy and I think there's enough context within the discussion thread I linked.

See: https://github.com/vercel/next.js/discussions/46795"
"Props must be serializable for components in ""use client"" file - Issue for #46795",https://github.com/vercel/next.js/discussions/46795,['padroes_de_projeto'],"[Current Behavior] Typescript (Next.js version) will give a warning (the title) to either a) make props serializable, or to postfix the prop name with 'Action'. This has led to an unnecessary amount of renamings simply to avoid this error - where the majority of cases **don't have anything to do with Server Actions at all.

[Expected Behavior] No errors when passing props unrelated to SA or the client-server boundary, especially in cases where client components are layered.

[Additional Context] Didn't provide a repro because I'm lazy and I think there's enough context within the discussion thread I linked.",_No response_
[DynamicIO] [Sitemap] Unable to create a cached/static `sitemap.ts` with `use cache`,,['padroes_de_projeto'],,
"When opening DevTools and hitting refresh in Chrome, unable to view page",https://github.com/KingJulius/react-fundamentals-practice,['padroes_de_projeto'],"Unable to refresh the page when DevTools is open. This in turn cannot be used to see the update in styling and elements from 1 state to another during a page refresh degrading the existing developer experience. I have also tested this in next version `15.1.0` as well, and I am still facing this issue.",This issue is reproducible locally in the dev environment. This issue is only in Chrome. Tested this using Firefox and not facing this issue on this browser.
Parallel Routes not working on Cloud Run in Next.js 15,,['padroes_de_projeto'],,
`'>' expected` in ./node_modules/next/dist/server/lib/router-utils/filesystem.d.ts:65:72,https://github.com/go-ahead-and-close-fyi-downgrade-workaround-exists,['padroes_de_projeto'],"This blocks a deployment in Vercel.

This happens to me on 15.0.2, 15.0.3, and 15.0.4

It seems at least two other souls are having trouble with this recently: https://stackoverflow.com/questions/79222153/nextjs-error-running-npm-run-build-node-modules-next-dist-server-lib-rout","Recently upgraded from an `^13.0.0` using page router.

Note - downgrading to `14.2.20` fixes the issue"
Error Overlay violates trusted types and breaks the entire app,will share later,['padroes_de_projeto'],"Expected: 
The hydration error modal shows up on top of the application UI.

Actual:
The application UI shows up for a second, and quickly flips to a blank page. hydration error modal doesn't show up. In the console there is such error complaining about the violation of trusted types:
<img width=""1411"" alt=""image"" src=""https://github.com/user-attachments/assets/fa823873-226d-425a-b911-2cc76e0b094c"">

Above it was the actual hydration error:
<img width=""1413"" alt=""image"" src=""https://github.com/user-attachments/assets/394b44bd-3444-4c08-8dfe-b603bbca9ff4"">

try printing out the default trusted policy we can see it's defined:
<img width=""335"" alt=""image"" src=""https://github.com/user-attachments/assets/891b0074-5c55-413e-8c9f-08893b441b5a"">

try adding console.log statements in the file that adds default trusted policy we can see it runs pretty early and before the hydration error was thrown.
<img width=""1019"" alt=""image"" src=""https://github.com/user-attachments/assets/d3afa723-fd9e-4875-8976-237e26ce4598"">

<img width=""856"" alt=""image"" src=""https://github.com/user-attachments/assets/ca21935d-750a-4181-8461-4407b90182d6"">

Clicking into the error stack, it shows this .innerHTML setting statement throws the error:
<img width=""347"" alt=""image"" src=""https://github.com/user-attachments/assets/870c974a-5053-45b8-84cb-ac3bed714a11"">


If we fix the hydration error the application loads fine.",_No response_
"Route ""/"" used `Date.now()` instead of using `performance` ... when using TanStack react query and dynamicIO",,"['arquitetura_software', 'padroes_de_projeto']",,
API Routes Responses Not Being Gzipped in Next.js App Router,invalid link,['arquitetura_software'],"```yaml
**Current**
HTTP/1.1 200 OK
Content-Type: application/json
Content-Length: 12345
Date: Mon, 11 Dec 2024 12:34:56 GMT

**Expected**: The response should be gzipped if the **Accept-Encoding: gzip** header is present.
HTTP/1.1 200 OK
Content-Type: application/json
Content-Encoding: gzip
Content-Length: 4567
Date: Mon, 11 Dec 2024 12:34:56 GMT","- This issue is reproducible in both development (next dev) and production (next start) modes.
- Tested with Next.js versions 14.1.0 and 15.0.4.
- Static assets are gzipped correctly by Next.js, but API route responses are not.
- There is no middleware or CDN in use during these tests. I expected gzip compression to be handled automatically by the framework."
"Codemod upgrade script does not consider the absence of the ""dev"" script in the package.json",https://stackblitz.com/edit/nextjs-vewqbk?file=package.json,['padroes_de_projeto'],"The current behaviour is throwing error if the dev script if not found.
We should check for the nullability of the devScript before trying to run `.includes` on the string.

Code: 
```
async function suggestTurbopack(packageJson: any): Promise<void> {
  const devScript: string = packageJson.scripts['dev']
  if (devScript.includes('--turbo')) return

  const responseTurbopack = await prompts(
    {
      type: 'confirm',
      name: 'enable',
      message: 'Enable Turbopack for next dev?',
      initial: true,
    },
    { onCancel }
  )

```",_No response_
"""Module not found: Can't resolve..."" error in monorepo with sibling package installed while using Turbopack in DEV",https://github.com/bratislava/konto.bratislava.sk/tree/next-15-turbopack-bug,['padroes_de_projeto'],"When including a locally build package in monorepo, Turbopack fails to compile:

```
> city-account-next@1.5.0 dev
> next dev --turbopack | pino-pretty -c

   Ôû▓ Next.js 15.0.3 (Turbopack)
   - Local:        http://localhost:3000
   - Environments: .env.development.local, .env.development, .env

 Ô£ô Starting...
 Ô£ô Ready in 1108ms
 ⚠ Webpack is configured while Turbopack is not, which may cause problems.
 ⚠ See instructions if you need to configure Turbopack:
  https://nextjs.org/docs/app/api-reference/next-config-js/turbo

 Ôùï Compiling / ...
 ⨯ ./components/forms/useFormContext.tsx:4:1
Module not found: Can't resolve 'forms-shared/definitions/formDefinitionTypes'
   2 | import { GetFileResponseReducedDto } from '@clients/openapi-forms'
   3 | import { GenericObjectType } from '@rjsf/utils'
>  4 | import {
     | ^^^^^^^^
>  5 |   isSlovenskoSkFormDefinition,
     | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
>  6 |   isSlovenskoSkTaxFormDefinition,
     | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
>  7 | } from 'forms-shared/definitions/formDefinitionTypes'
     | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
   8 | import { ClientFileInfo } from 'forms-shared/form-files/fileStatus'
   9 | import { SummaryJsonForm } from 'forms-shared/summary-json/summaryJsonTypes'
  10 | import { createContext, PropsWithChildren, useContext, useEffect, useState } from 'react'



https://nextjs.org/docs/messages/module-not-found
```

When running the legacy dev build version using `npm run dev-legacy`, everything runs perfectly as before:
```
> city-account-next@1.5.0 dev-legacy
> next dev | pino-pretty -c

   Ôû▓ Next.js 15.0.3
   - Local:        http://localhost:3000
   - Environments: .env.development.local, .env.development, .env

 Ô£ô Starting...
 Ô£ô Ready in 2.8s
 Ôùï Compiling / ...
 Ô£ô Compiled / in 9.6s (3428 modules)
 GET / 200 in 11670ms
 GET / 200 in 384ms
 Ô£ô Compiled in 1354ms (3428 modules)
```",I've commited `dist` of the respective package to speed up the process and ran codemod to upgrade to latest version. Also I've also included `npm run dev-legacy` which doesn't use Turbopack for comparision.
Return to previous page How to keep page status,https://codesandbox.io/p/devbox/l3cty4,['padroes_de_projeto'],"Current behavior:
1. In the home page, there is a counter and a uniqueId,
2. Click add, the counter will increase
3. Click about at the top, go to the about page and return, the counter has been reset, and the uniqueId is still the same.
4. (home- > about- > home) Click about at the top, and click home. At this time, the data of the first home and the second home are the same.

Expected behavior:
When returning to the previous page, the original page data should be retained (using zustand, the context should be achievable), but how to distinguish the data of the first home and the second home, so that the two pages have their own state

Maybe I overlooked some configuration?
(Above is machine translation)",_No response_
Private enviroments variables not working with react Msal ,None,['padroes_de_projeto'],"This error occurs because the `AZURE_AD_TENANT` environment variable is not being recognized, resulting in the tenant identifier being `undefined`. As a result, the login process fails, and I am unable to authenticate the user.

**Expected Behavior**:
I expect the login process to initiate successfully without any errors when the `loginRedirect()` function is called. Specifically, I expect the following:

1. The `AZURE_AD_TENANT` environment variable should be correctly loaded and accessible, allowing the authority URL to be constructed properly.
2. Upon successful authentication, I should receive a valid authentication response containing user information and access tokens.
3. The console should display the message ""Login successful:"" followed by the authentication response object.","When I attempt to log in using the MSAL library with the provided configuration, I expect the following behavior:

1. **Successful Authentication**:
   - The login process should initiate without errors when the `loginRedirect()` function is called.
   - Upon successful authentication, I should receive a valid authentication response containing user information and access tokens.

2. **User Redirection**:
   - After successful login, the user should be redirected to the specified `redirectUri` (e.g., `http://localhost:3000`).

3. **Access to Protected Resources**:
   - Once authenticated, the user should be able to access protected resources or APIs that require authentication, using the access token received during the login process.

4. **No Errors**:
   - I expect that no errors will occur during the login process, particularly the error `AADSTS900023: Specified tenant identifier 'undefined' is neither a valid DNS name, nor a valid external domain.` should not be displayed.


##Comments

If I use NEXT_PUBLIC in the environment variables, it works normally, but I can't because it is an internal application."
Postcss dependency updates do not cause a rebuild with Turbopack and app router,https://codesandbox.io/p/devbox/cocky-gagarin-nm5875?workspaceId=e0193290-13d9-42c6-9d62-7834e15587d2,['padroes_de_projeto'],"Changing the styles in the `styles.css` file do not cause a rebuild of the CSS files. 

This started happening with Next 15 (works on Next 14) and is only observed when using Turbopack and the app router.",_No response_
Vercel build will fail if there's a `[...catchAll]` route that does not await the params,,['padroes_estilos_arquiteturais'],,
